States,gold2016,silver2016,bronze2016,gold2020,silver2020,bronze2020,gold2024,silver2024,bronze2024,population2016,population2020,population2024,GDP2016,GDP2020,GDP2024
United States,46,37,38,39,41,33,40,44,42,323071755,331501080,336850000,18804913,23315081,26949643
China,26,18,26,38,32,19,40,27,24,1387790000,1411100000,1409670000,11233313,17734131,17700899
France,10,18,14,10,12,11,16,26,22,66724104,67571107,68428000,2472964,2957880,3049016
Great Britain,27,23,17,22,20,22,14,22,29,65611593,67081000,67596000,2689106,3131378,3332059
Australia,8,11,10,17,7,22,18,19,16,23401892,25655289,26997000,1207580,1734532,1687713
Japan,12,8,21,27,14,17,20,12,13,127076000,126261000,123890000,5003677,4940878,4230862
Netherlands,8,7,4,10,12,14,15,7,12,3603000,17441500,17948000,784060,1012847,1092748
Italy,8,12,8,10,10,20,12,13,15,60627498,59438851,58972000,1877071,2107703,2186082
South Korea,9,3,9,6,4,10,13,9,10,51217803,51836239,51277000,1499679,1810966,1709232
Germany,17,10,15,10,11,16,12,13,8,82348669,83160871,84607000,3469853,4259935,4429838
Canada,4,3,15,7,7,10,9,7,11,36109487,38037204,41012563,1527994,1988336,2117805
New Zealand,4,9,5,7,6,7,10,7,3,4716000,5090200,4951500,188898,260451,249415
Hungary,8,3,4,6,7,7,6,7,6,9814023,9750149,9678000,128609,181848,203829
Uzbekistan,4,2,7,3,0,2,8,2,3,31847900,34232050,36800000,86138,69239,90392
Spain,7,4,6,3,8,6,5,4,9,46484062,47365655,48693000,1233554,1427381,1582054
Brazil,7,6,6,7,6,8,3,7,10,206859578,213196304,203060000,1795693,1608981,2126809
Sweden,2,6,3,3,6,0,4,4,3,9923085,10353442,10552000,515654,635664,597110
Kenya,6,6,1,4,4,2,4,2,5,48468140,51985780,47564000,74815,110347,112749
Iran,3,1,4,3,2,2,3,6,3,83306231,87290193,85348000,457954,594892,366438
Ukraine,2,5,4,1,6,12,3,5,4,45004673,44132049,41130000,93355,200086,173413
Norway,0,0,4,4,2,2,4,1,3,5234520,5379475,5367600,370956,482175,546768
Romania,1,1,2,1,3,0,3,4,2,19702300,19265250,19054000,185287,284086,350414
Belgium,2,2,2,3,1,3,3,1,6,11331400,11538604,11810000,476062,594104,627511
Ireland,0,2,0,2,0,2,4,0,3,4761865,4985382,4921500,298559,504183,589569
Georgia,2,1,4,2,5,1,3,3,1,10301890,3722716,3723500,15444,18696,30023
Bulgaria,0,1,2,3,1,2,3,1,3,7151953,6934015,6942100,53964,84058,103099
Denmark,2,6,7,3,4,4,2,2,5,5728010,5831404,5827500,313115,398303,420800
Cuba,5,2,4,7,3,5,2,1,6,11342000,11300698,11113000,91370,126694,107352
Poland,2,3,6,4,5,5,1,4,5,37970100,37899070,37635000,470024,679442,842172
Serbia,2,4,2,3,1,5,3,1,1,7058320,6899126,6963800,40692,63068,75015
Czech,1,2,7,4,4,3,3,0,2,10566332,10697858,10882000,196272,281778,335243
Azerbaijan,1,7,10,0,3,4,2,2,3,10246000,10093121,10152000,37866,54622,77392
Croatia,5,3,2,3,3,2,2,2,3,4220676,4047680,4008600,52740,68955,80185
Chinese_Taipei,1,0,2,2,4,6,2,0,5,23539816,23561236,23404138,543002,701926,751930
lsrael,0,0,2,2,0,2,1,5,1,8546000,9215100,9855000,322102,481591,521688
Switzerland,3,2,2,3,4,6,1,2,5,8373338,8638167,8789700,687895,812867,905684
Greece,3,1,2,2,1,1,1,1,6,10775971,10698599,10482000,193148,214874,242385
Kazakhstan,2,5,10,0,0,8,1,3,3,17794055,18755666,20034000,137278,193018,259292
Austria,0,0,1,1,1,5,2,0,3,8736668,8916864,9106100,395837,480368,526182
Bahrain,1,1,0,0,1,0,2,1,1,1409660,1477469,1504365,32250,43205,44994
Jamaica,6,3,2,4,1,4,1,3,2,2898675,2820436,2726700,14077,14658,18761
South_Africa,2,6,2,1,2,0,1,3,2,56422274,58801927,62028000,323585,429016,380906
Thailand,2,2,2,1,0,1,1,3,2,68843618,71475664,65877000,413366,505982,512193
Hong_Kong,0,0,0,1,2,3,2,0,2,7336585,7481000,7498100,320860,369174,385546
Philippines,0,1,0,1,2,1,2,0,2,104875266,112190977,114160000,318627,394086,435675